date,close,volume,open,high,low
01/04/2021,123,75089100,123.660004,124.18,122.489998
05/04/2021,125.900002,88651200,123.870003,126.160004,123.07
06/04/2021,126.209999,80171300,126.5,127.129997,125.650002
07/04/2021,127.900002,83466700,125.830002,127.919998,125.139999
08/04/2021,130.360001,88844600,128.949997,130.389999,128.520004
09/04/2021,133,106686700,129.800003,133.039993,129.470001
12/04/2021,131.240005,91420000,132.520004,132.850006,130.630005
13/04/2021,134.429993,91266500,132.440002,134.660004,131.929993
14/04/2021,132.029999,87222800,134.940002,135,131.660004
15/04/2021,134.5,89347100,133.820007,135,133.639999
16/04/2021,134.160004,84922400,134.300003,134.669998,133.279999
19/04/2021,134.839996,94264200,133.509995,135.470001,133.339996
20/04/2021,133.110001,94812300,135.020004,135.529999,131.809998
21/04/2021,133.5,68847100,132.360001,133.75,131.300003
22/04/2021,131.940002,84566500,133.039993,134.149994,131.410004
23/04/2021,134.320007,78657500,132.160004,135.119995,132.160004
26/04/2021,134.720001,66905100,134.830002,135.059998,133.559998
27/04/2021,134.389999,66015800,135.009995,135.410004,134.110001
28/04/2021,133.580002,107760100,134.309998,135.020004,133.080002
29/04/2021,133.479996,151101000,136.470001,137.070007,132.449997
30/04/2021,131.460007,109839500,131.779999,133.559998,131.070007
03/05/2021,132.539993,75135100,132.039993,134.070007,131.830002
04/05/2021,127.849998,137564700,131.190002,131.490005,126.699997
05/05/2021,128.100006,84000900,129.199997,130.449997,127.970001
06/05/2021,129.740005,78128300,127.889999,129.75,127.129997
07/05/2021,130.210007,78973300,130.850006,131.259995,129.479996
10/05/2021,126.849998,88071200,129.410004,129.539993,126.809998
11/05/2021,125.910004,126142800,123.5,126.269997,122.769997
12/05/2021,122.769997,112172300,123.400002,124.639999,122.25
13/05/2021,124.970001,105861300,124.580002,126.150002,124.260002
14/05/2021,127.449997,81918000,126.25,127.889999,125.849998
17/05/2021,126.269997,74244600,126.82,126.93,125.169998
18/05/2021,124.849998,63342900,126.559998,126.989998,124.779999
19/05/2021,124.690002,92612000,123.160004,124.919998,122.860001
20/05/2021,127.309998,76857100,125.230003,127.720001,125.099998
21/05/2021,125.43,79295400,127.82,128,125.209999
24/05/2021,127.099998,63092900,126.010002,127.940002,125.940002
25/05/2021,126.900002,72009500,127.82,128.320007,126.32
26/05/2021,126.849998,56575900,126.959999,127.389999,126.419998
27/05/2021,125.279999,94625600,126.440002,127.639999,125.080002
28/05/2021,124.610001,71311100,125.57,125.800003,124.550003
01/06/2021,124.279999,67637100,125.080002,125.349998,123.940002
02/06/2021,125.059998,59278900,124.279999,125.239998,124.050003
03/06/2021,123.540001,76229200,124.68,124.849998,123.129997
04/06/2021,125.889999,75169300,124.07,126.160004,123.849998
07/06/2021,125.900002,71057600,126.169998,126.32,124.830002
08/06/2021,126.739998,74403800,126.599998,128.460007,126.209999
09/06/2021,127.129997,56877900,127.209999,127.75,126.519997
10/06/2021,126.110001,71186400,127.019997,128.190002,125.940002
11/06/2021,127.349998,53522400,126.529999,127.440002,126.099998
14/06/2021,130.479996,96906500,127.82,130.539993,127.07
15/06/2021,129.639999,62746300,129.940002,130.600006,129.389999
16/06/2021,130.149994,91815000,130.369995,130.889999,128.460007
17/06/2021,131.789993,96721700,129.800003,132.550003,129.649994
18/06/2021,130.460007,108953300,130.710007,131.509995,130.240005
21/06/2021,132.300003,79663300,130.300003,132.410004,129.210007
22/06/2021,133.979996,74783600,132.130005,134.080002,131.619995
23/06/2021,133.699997,60214200,133.770004,134.320007,133.229996
24/06/2021,133.410004,68711000,134.449997,134.639999,132.929993
25/06/2021,133.110001,70783700,133.460007,133.889999,132.809998
28/06/2021,134.779999,62111300,133.410004,135.25,133.350006
29/06/2021,136.330002,64556100,134.800003,136.490005,134.350006
30/06/2021,136.960007,63261400,136.169998,137.410004,135.869995
01/07/2021,137.270004,52485800,136.600006,137.330002,135.759995
02/07/2021,139.960007,78852600,137.899994,140,137.75
06/07/2021,142.020004,108181800,140.070007,143.149994,140.070007
07/07/2021,144.570007,104911600,143.539993,144.889999,142.660004
08/07/2021,143.240005,105575500,141.580002,144.059998,140.669998
09/07/2021,145.110001,99788400,142.75,145.649994,142.649994
